name,garnish,serving_suggestion,ingredients,steps,review_count,url,website,image_url
Jack Rose Cocktail,Lemon zest twist &/or lemon wedge,"Serve in a Coupe glass
Photographed in a Libbey Sway 4.5oz","['1 2⁄3 shot Avallen Calvados', '1⁄2 shot Lemon juice (freshly squeezed)', '1⁄4 shot Lime juice (freshly squeezed)', '1⁄4 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '1⁄12 shot Raspberry (framboise) sugar syrup', '1⁄12 shot Giffard Grenadine syrup', '1 dash Orange Bitters by Angostura', '1⁄4 shot Pasteurised egg white']",SHAKE all ingredients with ice and fine strain into chilled glass. (Consider dry shaking if using egg white.),10,https://www.diffordsguide.com/cocktails/recipe/1039/jack-rose-cocktail,diffords,https://cdn.diffords.com/contrib/stock-images/2020/02/5e3d5cacc910f.jpg
Jackie O's Rose,Lime wedge,Serve in a Coupe glass,"['1 2⁄3 shot Bacardi Carta Blanca light rum', '1⁄2 shot De Kuyper Triple Sec (40%)', '5⁄6 shot Lime juice (freshly squeezed)', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '1⁄24 shot Rose water', ""4 drop Difford's Margarita Bitters"", ""2 drop Difford's Saline Solution (or ½ pinch salt)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,11,https://www.diffordsguide.com/cocktails/recipe/1040/jackie-os-rose,diffords,https://cdn.diffords.com/contrib/stock-images/2016/11/26/201605db8f6ced255b1846b3cccfa3bbe57f.jpg
Jacktini,Lemon zest twist,Serve in a Martini glass,"['1 shot Daddy Rack Tennessee Whiskey', '1 shot Mandarine Napoleon liqueur', '1 shot Lemon juice (freshly squeezed)', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']",SHAKE all ingredients with ice and fine strain into chilled glass.,7,https://www.diffordsguide.com/cocktails/recipe/1041/jacktini,diffords,https://cdn.diffords.com/contrib/stock-images/2016/11/34/2016f31e97cbd3d1f02e46292ad9ba7f4fc0.jpg
Jacuzzi,Orange slice,Serve in a Flute glass,"['1 shot Peachtree peach schnapps', '1⁄2 shot Rutte Dry Gin', '1 shot Orange juice (freshly squeezed)', 'Top up with Brut Champagne']",SHAKE first three ingredients with ice and fine strain into chilled glass. TOP with champagne.,0,https://www.diffordsguide.com/cocktails/recipe/1042/jacuzzi,diffords,https://cdn.diffords.com/contrib/stock-images/2016/11/26/2016cebbdb3e78b3e0e11b1dea5783837c48.jpg
Jade Daiquiri,Mint leaf,Serve in a Coupe glass,"['2 shot Bacardi Carta Blanca light rum', '1⁄4 shot De Kuyper Triple Sec (40%)', '1⁄4 shot Giffard Menthe Pastille white crème de menthe', '1⁄2 shot Lime juice (freshly squeezed)', '1⁄4 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)']",SHAKE all ingredients with ice and fine strain into chilled glass.,5,https://www.diffordsguide.com/cocktails/recipe/1043/jade-daiquiri,diffords,https://cdn.diffords.com/contrib/stock-images/2016/11/32/2016247d226367ac91ddb2851ccd60c5b6b2.jpg
Jade Garden,Lemon slice,Serve in a Collins glass,"['2 shot Ketel One Vodka', '1 shot St-Germain elderflower liqueur', '1⁄2 shot Jasmine tea (cold)', '1 1⁄2 shot Apple juice', '1⁄2 shot Lemon juice (freshly squeezed)']",SHAKE all ingredients with ice and strain into ice-filled glass.,0,https://www.diffordsguide.com/cocktails/recipe/1044/jade-garden,diffords,https://cdn.diffords.com/contrib/stock-images/2016/11/33/2016adf5a252b149b2f4b19548f794f09cce.jpg
Jaded Lady,Dust with grated nutmeg,Serve in a Martini glass,"['1 1⁄2 shot Rutte Dry Gin', '1 1⁄2 shot Warninks Advocaat liqueur', '1 dash Orange Bitters by Angostura', '1⁄2 shot Orange juice (freshly squeezed)', '1⁄6 shot De Kuyper Blue Curaçao']",SHAKE first four ingredients with ice and fine strain into chilled glass. Carefully POUR blue curaçao through centre of drink (it should sink to the bottom).,8,https://www.diffordsguide.com/cocktails/recipe/1045/jaded-lady,diffords,https://cdn.diffords.com/contrib/stock-images/2016/11/11/20163edd6fc6328370530fe8cc271a4a6e4c.jpg
Jaffa 'Martini',Mini Jaffa Cake,Serve in a Martini glass,"['1 shot De Kuyper Triple Sec (40%)', '1 shot De Kuyper Brown Crème de Cacao', '1⁄2 shot Ketel One Oranje Vodka', '1⁄2 shot Lemon juice (freshly squeezed)', '1 shot Orange juice (freshly squeezed)', '3 dash Orange Bitters by Angostura', '1 fresh Egg (white & yolk)']",SHAKE all ingredients with ice and fine strain into chilled glass.,1,https://www.diffordsguide.com/cocktails/recipe/1046/jaffa-martini,diffords,https://cdn.diffords.com/contrib/stock-images/2016/11/12/2016978a5b608a348ed9ec9d4673a1093e1e.jpg
Jalisco,White grapes,Serve in a Martini glass,"['12 fresh Green grapes (seedless)', '2 1⁄2 shot Patrón Reposado tequila', '1⁄2 shot Sugar syrup (65.0°brix, 2 sugar to 1 water rich syrup)', '3 dash Orange Bitters by Angostura']","MUDDLE grapes in base of shaker. Add other ingredients, SHAKE with ice and fine strain into chilled glass.",4,https://www.diffordsguide.com/cocktails/recipe/1047/jalisco,diffords,https://cdn.diffords.com/contrib/stock-images/2016/11/15/2016126418ce7e337d3b0507f0bf05e29c4a.jpg
Jalisco Espresso,Float 3 coffee beans,Serve in a Coupe glass,"['1 1⁄2 shot Patrón Silver blanco tequila', '1 shot Espresso coffee (freshly made & hot)', '2⁄3 shot Bebo Coffee Liqueur', ""2 drop Difford's Saline Solution (or ½ pinch salt) (optional)""]",SHAKE all ingredients with ice and fine strain into chilled glass.,8,https://www.diffordsguide.com/cocktails/recipe/1048/jalisco-espresso,diffords,https://cdn.diffords.com/contrib/stock-images/2016/7/01/2016473a3f8e43f3f066288efa2ce865ad85.jpg
